Groupname,Link-e,Link-g
Картофель,https://e-dostavka.by/catalog/item_81920.html,https://shop.green-market.by/api/v1/products/227076
Хлеб маг,https://e-dostavka.by/catalog/item_495303.html,https://shop.green-market.by/api/v1/products/1656
Молоко,https://e-dostavka.by/catalog/item_926658.html,https://shop.green-market.by/api/v1/products/179552
Бананы,https://e-dostavka.by/catalog/item_93033.html,https://shop.green-market.by/api/v1/products/1094
Апельсины,https://e-dostavka.by/catalog/item_56226.html,https://shop.green-market.by/api/v1/products/3166407
Яблоко,https://e-dostavka.by/catalog/item_408418.html,https://shop.green-market.by/api/v1/products/1243
Говядина,https://e-dostavka.by/catalog/item_59655.html,https://shop.green-market.by/api/v1/products/1347
Шоколад,https://e-dostavka.by/catalog/item_42679.html,https://shop.green-market.by/api/v1/products/226
Конфеты,https://e-dostavka.by/catalog/item_2268.html,https://shop.green-market.by/api/v1/products/213
Колбаса,https://e-dostavka.by/catalog/item_537240.html,https://shop.green-market.by/api/v1/products/2515210
Изюм,https://e-dostavka.by/catalog/item_73641.html,https://shop.green-market.by/api/v1/products/833
Грецкий орех,https://e-dostavka.by/catalog/item_71613.html,https://shop.green-market.by/api/v1/products/828
Свинина,https://e-dostavka.by/catalog/item_878188.html,https://shop.green-market.by/api/v1/products/1091
Гречка,https://e-dostavka.by/catalog/item_718957.html,https://shop.green-market.by/api/v1/products/2525
Овсянка,https://e-dostavka.by/catalog/item_1192.html,https://shop.green-market.by/api/v1/products/915
Перловка,https://e-dostavka.by/catalog/item_306981.html,https://shop.green-market.by/api/v1/products/142
Пшенка,https://e-dostavka.by/catalog/item_557602.html,https://shop.green-market.by/api/v1/products/1864
Подсолнечное масло,https://e-dostavka.by/catalog/item_14029.html,https://shop.green-market.by/api/v1/products/1044
Кетчуп,https://e-dostavka.by/catalog/item_230318.html,https://shop.green-market.by/api/v1/products/3157543
Вода,https://e-dostavka.by/catalog/item_12196.html,https://shop.green-market.by/api/v1/products/242796